telling  ;datum;naxxyyzzinventarisnummer;naxxyyzzfolioxxyyzznummer;scheepsnaam;scheepstype;plaatsxxyyzzparthesius;lokatie;aantalxxyyzzpersonen;aantalxxyyzzzeevarendenxxyyzzeuropees;aantalxxyyzzzeevarendenxxyyzzaziatisch;aantalxxyyzzsoldatenxxyyzzeuropees;aantalxxyyzzsoldatenxxyyzzaziatisch;aantalxxyyzzoverig;azxxyyzzaantalxxyyzzvoorman;azxxyyzzaantalxxyyzzvoormansmaat;azxxyyzzaantalxxyyzzkok;azxxyyzzaantalxxyyzzmatrozen;azxxyyzzaangenomenxxyyzzplaats;azxxyyzzaangenomenxxyyzzparthesius;azxxyyzzaangenomenxxyyzzjaar;azxxyyzzaangenomenxxyyzzjaarxxyyzznorm;azxxyyzzaanduidingxxyyzzmatrozen;azxxyyzzaanduidingxxyyzzvoorman;azxxyyzzloonxxyyzzvoorman;azxxyyzzloonxxyyzzvoormansmaat;azxxyyzzloonxxyyzzkok;azxxyyzzloonxxyyzzmatrozen;azxxyyzzregistratiexxyyzzwijze;azxxyyzzregistratiexxyyzzkop;azxxyyzzregistratiexxyyzzopmerking;asxxyyzzaangenomenxxyyzzplaats;asxxyyzzaangenomenxxyyzzjaar;asxxyyzzaanduidingxxyyzzsoldaten;asxxyyzzaanduidingxxyyzzvoorman;asxxyyzzloonxxyyzzhoofd;asxxyyzzloonxxyyzzcorporaal;asxxyyzzloonxxyyzzsoldaat;asxxyyzzregistratiexxyyzzwijze;asxxyyzzregistratiexxyyzzkop;asxxyyzzregistratiexxyyzzopmerking;opmerkingen;voornaam;tussenvoegsel;achternaam;geboorteplaats;aankomstxxyyzzazie;notitie;dasxxyyzzlinkxxyyzzheen;dasxxyyzzlinkxxyyzzterug
6;1691;11707;1;Landswelvaren;Schip;79;Batavia, Ter Rhede;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1598.2;5903.2
7;1691;11707;6;De Ridderschap van Holland;Schip;79;Batavia, Ter Rhede;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1587.4;5895.4
8;1691;11707;11;De Goede Hoop;Schip;79;Batavia, Ter Rhede;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1591.1;5900.1
9;1691;11707;14;Schoondijk;Schip;79;Batavia, Ter Rhede;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1585.1;5896.1
10;1691;11707;16;Waterland;Schip;79;Batavia, Ter Rhede;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1601.3;5899.3
11;1691;11707;19;Spierdijck;Jagt;79;Batavia, Ter Rhede;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1606.3;5902.3
12;1691;11707;22;Cortgeene;Schip;79;Batavia, Ter Rhede;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1597.5;
13;1691;11707;25;De Groote Visserij;Schip;79;Batavia, Ter Rhede;73;52;21;;;;1;;1;19;Bengalen;44;1691;1691;Moors matroos;Moorse bootsman;15;;10.5;7.5;Voornamen;Moorse matroosen;;;;;;;;;;;;;Jan;;Anmans;Rotterdam;Bantham 1687;NB: Ervaren onderstuurman Hans van der Schuren (Adam, 32 g, Strijen 1685), onderstuurman Claas Haverman (Straalsond, 18 g, Zilversteijn 1686);1542.2;
14;1691;11707;28;Cronenburg;Fluijt;79;Batavia, Ter Rhede;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1583.3;
15;1691;11707;30;Honschelredijk;Schip;79;Batavia, Ter Rhede;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1603.4;
16;1691;11707;32;Den Eenhoorn;Schip;79;Batavia, Ter Rhede;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1596.3;5894.3
17;1691;11707;34;Bovencarspel;Fluijt;79;Batavia, Ter Rhede;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1459.1;
18;1691;11707;36;Wester Amstel;Fluijt;79;Batavia, Ter Rhede;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1475.3;
19;1691;11707;38;Sint Martensdijk;Jagt;79;Batavia, Ter Rhede;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1521.2;
20;1691;11707;40; 't Huijs te Spijck;Fluijt;79;Batavia, Ter Rhede;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1507.2;
21;1691;11707;42;De Waalstroom;Schip;79;Batavia, Ter Rhede;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1582.2;5898.2
22;1691;11707;45;De Zeijst;Jagt;79;Batavia, Ter Rhede;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1402.1;
23;1691;11707;49;De Sint Nicolaas;Jagt;79;Batavia, Ter Rhede;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1691;11707;51;De Grijpvogel;Jagt;79;Batavia, Ter Rhede;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1691;11707;53;De Craanvogel;Jagt;79;Batavia, Ter Rhede;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1399.1;
26;1691;11707;50;Klaverblad;Fluijt;79;Batavia, Ter Rhede;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1512.1;
27;1691;11707;47;Nadermeer;Fluijt;79;Batavia, Ter Rhede;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1371.1;
28;1691;11707;54;De Maas;Schip;79;Batavia, Ter Rhede;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1599.2;5943.2
29;1691;11707;56;Sparrewoude;Fluijt;79;Batavia, Ter Rhede;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1435.2;
30;1691;11707;58; 't Wout;Tsocherbootje?;79;Batavia, Ter Rhede;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1410.1;
31;1691;11707;59;de Bril;Fluijt;79;Batavia, Ter Rhede;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1470.1;
32;1691;11707;61;Bronstee;Fluijt;85;Amboina;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1516.1;
33;1691;11707;62;Het Haantje;Fluijt;85;Amboina;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1589.1;
34;1691;11707;63;De Merel;Fluijt;86;Banda;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1400.1;
35;1691;11707;64;De Raap;Fluijt;86;Banda;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1428.1;
36;1691;11707;65;De Helder;Schip;33;Suratte;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1559.2;
37;1691;11707;108; 't Casteel Batavia;Schip;33;Suratte;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;1691;11707;110;De Beurs van Amsterdam;Jagt;33;Suratte;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1515.2;
39;1691;11707;68;Hendrik Maurits;Schip;84;Makassar;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1538.6;
40;1691;11707;73;De Vrijheijt;Schip;11;Andermijen;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1519.7;
41;1691;11707;81;Baaren;Fluijt;37;Cochin, In de rivier van;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1405.1;
42;1691;11707;82;De Stantvastigheit;Jagt;37;Cochin, In de rivier van;48;32;16;;;;;;;16;"Cochin; Bengalen";40;;;Matroos;Niet, wel matroos met gage van 9 gulden;9;;;8 of 7 1/2;Achternamen;Toepassen matroosen;Matrozen uit Bengalen verdienen 7 1/2, matrozen uit Cochin 8.;;;;;;;;;;;;Jacob;;Arentsz Versloot;Rotterdam;Schieland 1695;NB: Ervaren opperstuurman Arij Caats (Schoonhoven, 48 g, Zaamslagh 1688), derdewaak Sievert Janse (Sneeck, 26 g, Waterland 1687);;
43;1691;11707;84;De Voetboogh;Schip;37;Cochin, In de rivier van;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1575.1;5897.1
44;1691;11707;89;Castricum;Schip;37;Cochin, In de rivier van;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1562.2;
45;1691;11707;92;Coeverden;Schip;37;Cochin, In de rivier van;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1518.3;
46;1691;11707;86;De Moerkappel;Schip;37;Cochin, In de rivier van;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1586.2;5905.2
47;1691;11707;95;Meijdragt;Schip;37;Cochin, In de rivier van;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1593.1;5901.1
48;1691;11707;98;Zalland;Schip;37;Cochin, In de rivier van;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1578.2;
49;1691;11707;101;Dreghterlandt;Schip;37;Cochin, Rivier van ;94;93;1;;;;;;;1;Cochin;37;1690;1690;Moors matroos;Niet;;;;5;Achternamen;;Matroos alleen gemonstert en tussen Europese bemanning genoteerd;;;;;;;;;;;;;;;;;;1577.1;5906.1
50;1691;11707;113;Gasperdam;Jagt;95;Toncquin;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1445.1;
51;1691;11707;79;Hobre;Fluijt;15;In zee gemonstert;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1590.2;
52;1691;11707;77;Jambij;Jagt;15;In zee gemonstert;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1517.2;
53;1691;11707;105;Chilida;Jagt;15;In zee gemonstert;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1550.2;
54;1691;11707;114;Walenburg;Fluijt;15;In zee gemonstert;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1486.1;
55;1691;11707;117;Boswijck;Fluijt;15;In zee gemonstert;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1496.1;
56;1691;11707;119;Wijk op Zee;Jagt;15;In zee gemonstert;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;1691;11707;122;Egelenburgh;Fluijt;15;In Zee;50;38;12;;;;1;;;11;Bengalen;44;;;Moors matroos;Moors bootsman;12;;;7.5;Achternamen;;;;;;;;;;;;;NB: Schip mist op verfilmde zeemonsterrol (Kamer Zeeland, inv 11706, rol 5050), verder komen rollen wel overeen!);;;;;;;1411.1;
58;1691;11707;124;De Gideon;Schip;15;In Zee;72;47;25;;;;1;;1;23;21;11;1691;1691;Moors matroos;Moors hoogbootsman;15;;10.5;7.5;Achternamen;;Eén niet-Moorse inlandse matroos uit Bouton.;;;;;;;;;;;NB: Schip mist op verfilmde zeemonsterrol (Kamer Zeeland, inv 11706, rol 5050), verder komen rollen wel overeen!);;;;;;;1462.1;
59;1692;11708;1;Oostzouburgh;Schip;79;Batavia, ter rede;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1624.2;5980A.
60;1692;11708;3;Silversteijn;Schip;79;Batavia, ter rede;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1622.5;
61;1692;11708;8;Oosterlandt;Schip;79;Batavia, ter rede;105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1612.3;5918.3
62;1692;11708;12;Java;Schip;79;Batavia, ter rede;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1611.5;
